#VAL111-3  Hist_01158
     -180 0.166686000
     -174 0.096554000
     -168 0.038452000
     -162 0.012032000
     -156 0.003552000
     -150 0.001138000
     -144 0.000470000
     -138 0.000290000
     -132 0.000272000
     -126 0.000286000
     -120 0.000486000
     -114 0.000810000
     -108 0.001348000
     -102 0.002324000
      -96 0.004886000
      -90 0.009642000
      -84 0.017282000
      -78 0.025988000
      -72 0.029566000
      -66 0.025934000
      -60 0.016706000
      -54 0.008086000
      -48 0.002748000
      -42 0.000798000
      -36 0.000168000
      -30 0.000042000
      -24 0.000010000
      -18 0.000002000
      -12 0.000000000
       -6 0.000000000
        0 0.000004000
        6 0.000006000
       12 0.000060000
       18 0.000238000
       24 0.001008000
       30 0.002850000
       36 0.007440000
       42 0.014638000
       48 0.024326000
       54 0.034208000
       60 0.038202000
       66 0.032704000
       72 0.019610000
       78 0.008796000
       84 0.002836000
       90 0.000800000
       96 0.000260000
      102 0.000096000
      108 0.000030000
      114 0.000048000
      120 0.000042000
      126 0.000036000
      132 0.000068000
      138 0.000156000
      144 0.000538000
      150 0.002212000
      156 0.011020000
      162 0.042762000
      168 0.111520000
      174 0.176928000
