#SER41-0  Hist_00418
    -180 0.000186000
    -174 0.000790000
    -168 0.002068000
    -162 0.003812000
    -156 0.005784000
    -150 0.006708000
    -144 0.006886000
    -138 0.006844000
    -132 0.006732000
    -126 0.007684000
    -120 0.009344000
    -114 0.012354000
    -108 0.018710000
    -102 0.030598000
     -96 0.052064000
     -90 0.085622000
     -84 0.129668000
     -78 0.168922000
     -72 0.176212000
     -66 0.139848000
     -60 0.082086000
     -54 0.034106000
     -48 0.010274000
     -42 0.002150000
     -36 0.000438000
     -30 0.000046000
     -24 0.000006000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000002000
     168 0.000010000
     174 0.000046000
