#VAL169-3  Hist_01800
     -180 0.081170000
     -174 0.031738000
     -168 0.010636000
     -162 0.003116000
     -156 0.000974000
     -150 0.000270000
     -144 0.000084000
     -138 0.000034000
     -132 0.000020000
     -126 0.000002000
     -120 0.000004000
     -114 0.000002000
     -108 0.000004000
     -102 0.000032000
      -96 0.000124000
      -90 0.000508000
      -84 0.001788000
      -78 0.005096000
      -72 0.010770000
      -66 0.017272000
      -60 0.016630000
      -54 0.010220000
      -48 0.004046000
      -42 0.001246000
      -36 0.000362000
      -30 0.000114000
      -24 0.000032000
      -18 0.000012000
      -12 0.000000000
       -6 0.000002000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000002000
       30 0.000024000
       36 0.000246000
       42 0.001272000
       48 0.004818000
       54 0.013632000
       60 0.026446000
       66 0.034860000
       72 0.033756000
       78 0.024252000
       84 0.014108000
       90 0.007198000
       96 0.003172000
      102 0.001508000
      108 0.000718000
      114 0.000516000
      120 0.000422000
      126 0.000556000
      132 0.001120000
      138 0.003090000
      144 0.009912000
      150 0.031266000
      156 0.082636000
      162 0.157582000
      168 0.196090000
      174 0.154490000
