#GLU62-0  Hist_00632
    -180 0.000000000
    -174 0.000002000
    -168 0.000020000
    -162 0.000114000
    -156 0.000334000
    -150 0.000784000
    -144 0.001748000
    -138 0.002996000
    -132 0.005228000
    -126 0.008256000
    -120 0.012348000
    -114 0.018854000
    -108 0.027662000
    -102 0.041788000
     -96 0.062734000
     -90 0.095744000
     -84 0.135480000
     -78 0.170694000
     -72 0.171334000
     -66 0.131958000
     -60 0.072990000
     -54 0.028670000
     -48 0.008214000
     -42 0.001728000
     -36 0.000266000
     -30 0.000042000
     -24 0.000012000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
