#LEU5-0   Hist_00048
    -180 0.000000000
    -174 0.000000000
    -168 0.000046000
    -162 0.000474000
    -156 0.002728000
    -150 0.010464000
    -144 0.027434000
    -138 0.053582000
    -132 0.083286000
    -126 0.110568000
    -120 0.126640000
    -114 0.135168000
    -108 0.131580000
    -102 0.117628000
     -96 0.091546000
     -90 0.059740000
     -84 0.031588000
     -78 0.012670000
     -72 0.003952000
     -66 0.000776000
     -60 0.000122000
     -54 0.000008000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
