#MET1-3   Hist_00006
    -180 0.233246000
    -174 0.145896000
    -168 0.066116000
    -162 0.025420000
    -156 0.009544000
    -150 0.003484000
    -144 0.001368000
    -138 0.000484000
    -132 0.000212000
    -126 0.000144000
    -120 0.000104000
    -114 0.000132000
    -108 0.000240000
    -102 0.000334000
     -96 0.000674000
     -90 0.001232000
     -84 0.001930000
     -78 0.002700000
     -72 0.003076000
     -66 0.002928000
     -60 0.002094000
     -54 0.001046000
     -48 0.000510000
     -42 0.000162000
     -36 0.000058000
     -30 0.000014000
     -24 0.000002000
     -18 0.000002000
     -12 0.000000000
      -6 0.000000000
       0 0.000004000
       6 0.000002000
      12 0.000004000
      18 0.000008000
      24 0.000028000
      30 0.000090000
      36 0.000298000
      42 0.000696000
      48 0.001590000
      54 0.002706000
      60 0.003792000
      66 0.004256000
      72 0.003616000
      78 0.002410000
      84 0.001214000
      90 0.000572000
      96 0.000200000
     102 0.000108000
     108 0.000054000
     114 0.000020000
     120 0.000018000
     126 0.000010000
     132 0.000038000
     138 0.000118000
     144 0.000538000
     150 0.003200000
     156 0.016458000
     162 0.061062000
     168 0.152482000
     174 0.241256000
