#ARG88-4  Hist_00916
    -180 0.180476000
    -174 0.148434000
    -168 0.087816000
    -162 0.041068000
    -156 0.016612000
    -150 0.006218000
    -144 0.002220000
    -138 0.000826000
    -132 0.000428000
    -126 0.000238000
    -120 0.000212000
    -114 0.000342000
    -108 0.000638000
    -102 0.001754000
     -96 0.004328000
     -90 0.008584000
     -84 0.014208000
     -78 0.021756000
     -72 0.027626000
     -66 0.026414000
     -60 0.019932000
     -54 0.011520000
     -48 0.005008000
     -42 0.001678000
     -36 0.000486000
     -30 0.000146000
     -24 0.000026000
     -18 0.000006000
     -12 0.000004000
      -6 0.000002000
       0 0.000002000
       6 0.000000000
      12 0.000000000
      18 0.000002000
      24 0.000014000
      30 0.000070000
      36 0.000268000
      42 0.000836000
      48 0.001924000
      54 0.002990000
      60 0.003466000
      66 0.003500000
      72 0.003084000
      78 0.002686000
      84 0.001854000
      90 0.001258000
      96 0.000788000
     102 0.000506000
     108 0.000344000
     114 0.000304000
     120 0.000274000
     126 0.000344000
     132 0.000662000
     138 0.001434000
     144 0.003170000
     150 0.008568000
     156 0.021570000
     162 0.051490000
     168 0.101916000
     174 0.157670000
