#LEU153-4  Hist_01606
     -180 0.172238000
     -174 0.075444000
     -168 0.023608000
     -162 0.005362000
     -156 0.000942000
     -150 0.000158000
     -144 0.000014000
     -138 0.000002000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000002000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000002000
       96 0.000000000
      102 0.000000000
      108 0.000002000
      114 0.000002000
      120 0.000000000
      126 0.000006000
      132 0.000012000
      138 0.000170000
      144 0.001756000
      150 0.011642000
      156 0.052756000
      162 0.148250000
      168 0.249006000
      174 0.258626000
