#ASP158-3  Hist_01666
     -180 0.012810000
     -174 0.021734000
     -168 0.024810000
     -162 0.019160000
     -156 0.010804000
     -150 0.004846000
     -144 0.002152000
     -138 0.001036000
     -132 0.000572000
     -126 0.000540000
     -120 0.000524000
     -114 0.000602000
     -108 0.001068000
     -102 0.002646000
      -96 0.007114000
      -90 0.019214000
      -84 0.046642000
      -78 0.091058000
      -72 0.136718000
      -66 0.153668000
      -60 0.133494000
      -54 0.091476000
      -48 0.050836000
      -42 0.023532000
      -36 0.009624000
      -30 0.003958000
      -24 0.001512000
      -18 0.000620000
      -12 0.000284000
       -6 0.000192000
        0 0.000182000
        6 0.000186000
       12 0.000314000
       18 0.000536000
       24 0.001144000
       30 0.002514000
       36 0.005470000
       42 0.010964000
       48 0.018542000
       54 0.024388000
       60 0.024084000
       66 0.017894000
       72 0.008904000
       78 0.003434000
       84 0.000918000
       90 0.000188000
       96 0.000018000
      102 0.000006000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000002000
      150 0.000010000
      156 0.000058000
      162 0.000322000
      168 0.001496000
      174 0.005180000
