#VAL132-3  Hist_01378
     -180 0.121162000
     -174 0.093376000
     -168 0.052612000
     -162 0.022784000
     -156 0.007806000
     -150 0.002316000
     -144 0.000672000
     -138 0.000188000
     -132 0.000080000
     -126 0.000060000
     -120 0.000070000
     -114 0.000132000
     -108 0.000290000
     -102 0.001008000
      -96 0.003022000
      -90 0.007636000
      -84 0.015870000
      -78 0.025146000
      -72 0.029018000
      -66 0.025328000
      -60 0.017512000
      -54 0.009516000
      -48 0.004472000
      -42 0.001704000
      -36 0.000666000
      -30 0.000166000
      -24 0.000026000
      -18 0.000004000
      -12 0.000002000
       -6 0.000004000
        0 0.000000000
        6 0.000000000
       12 0.000008000
       18 0.000010000
       24 0.000046000
       30 0.000296000
       36 0.001620000
       42 0.006170000
       48 0.016834000
       54 0.033682000
       60 0.049614000
       66 0.051100000
       72 0.038720000
       78 0.022096000
       84 0.009524000
       90 0.003506000
       96 0.001190000
      102 0.000414000
      108 0.000172000
      114 0.000138000
      120 0.000112000
      126 0.000194000
      132 0.000476000
      138 0.001368000
      144 0.004080000
      150 0.011682000
      156 0.029172000
      162 0.059578000
      168 0.095644000
      174 0.119906000
