#ARG2-6   Hist_00024
    -180 0.107210000
    -174 0.105412000
    -168 0.092444000
    -162 0.073074000
    -156 0.055166000
    -150 0.040124000
    -144 0.028018000
    -138 0.020258000
    -132 0.015438000
    -126 0.013204000
    -120 0.012128000
    -114 0.011600000
    -108 0.010948000
    -102 0.010378000
     -96 0.008848000
     -90 0.006848000
     -84 0.004206000
     -78 0.002396000
     -72 0.001008000
     -66 0.000456000
     -60 0.000134000
     -54 0.000036000
     -48 0.000012000
     -42 0.000008000
     -36 0.000002000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000002000
      18 0.000000000
      24 0.000004000
      30 0.000018000
      36 0.000058000
      42 0.000270000
      48 0.000820000
      54 0.002234000
      60 0.005132000
      66 0.009366000
      72 0.013496000
      78 0.016150000
      84 0.016604000
      90 0.015292000
      96 0.012848000
     102 0.009962000
     108 0.007534000
     114 0.005960000
     120 0.004472000
     126 0.003564000
     132 0.003486000
     138 0.004224000
     144 0.006886000
     150 0.012826000
     156 0.024944000
     162 0.043544000
     168 0.068890000
     174 0.092058000
