#ASP76-4  Hist_00794
    -180 0.071330000
    -174 0.052868000
    -168 0.031188000
    -162 0.014876000
    -156 0.006002000
    -150 0.002252000
    -144 0.000846000
    -138 0.000328000
    -132 0.000232000
    -126 0.000204000
    -120 0.000136000
    -114 0.000154000
    -108 0.000130000
    -102 0.000124000
     -96 0.000114000
     -90 0.000140000
     -84 0.000184000
     -78 0.000324000
     -72 0.000558000
     -66 0.001148000
     -60 0.002282000
     -54 0.004568000
     -48 0.007854000
     -42 0.013938000
     -36 0.021148000
     -30 0.030600000
     -24 0.042650000
     -18 0.054830000
     -12 0.066010000
      -6 0.070260000
       0 0.065078000
       6 0.050912000
      12 0.033564000
      18 0.018832000
      24 0.008552000
      30 0.003352000
      36 0.001238000
      42 0.000542000
      48 0.000294000
      54 0.000156000
      60 0.000186000
      66 0.000144000
      72 0.000122000
      78 0.000140000
      84 0.000102000
      90 0.000146000
      96 0.000158000
     102 0.000238000
     108 0.000482000
     114 0.000904000
     120 0.001604000
     126 0.003090000
     132 0.005786000
     138 0.010640000
     144 0.017522000
     150 0.028364000
     156 0.041986000
     162 0.057358000
     168 0.072390000
     174 0.078840000
