#LEU6-3   Hist_00064
    -180 0.000950000
    -174 0.000806000
    -168 0.000678000
    -162 0.000350000
    -156 0.000198000
    -150 0.000158000
    -144 0.000082000
    -138 0.000096000
    -132 0.000110000
    -126 0.000122000
    -120 0.000280000
    -114 0.000372000
    -108 0.000818000
    -102 0.001894000
     -96 0.004422000
     -90 0.010424000
     -84 0.025180000
     -78 0.061032000
     -72 0.130100000
     -66 0.215324000
     -60 0.248090000
     -54 0.182386000
     -48 0.083666000
     -42 0.025056000
     -36 0.005146000
     -30 0.000766000
     -24 0.000112000
     -18 0.000016000
     -12 0.000002000
      -6 0.000000000
       0 0.000002000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000002000
     144 0.000002000
     150 0.000012000
     156 0.000044000
     162 0.000180000
     168 0.000384000
     174 0.000738000
