#SER30-1  Hist_00308
    -180 0.086786000
    -174 0.028554000
    -168 0.007028000
    -162 0.001430000
    -156 0.000274000
    -150 0.000056000
    -144 0.000008000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000018000
      72 0.000052000
      78 0.000168000
      84 0.000454000
      90 0.001284000
      96 0.002720000
     102 0.004676000
     108 0.007070000
     114 0.009276000
     120 0.011212000
     126 0.013986000
     132 0.019106000
     138 0.026050000
     144 0.035466000
     150 0.056368000
     156 0.106518000
     162 0.183678000
     168 0.223814000
     174 0.173948000
