#LYS195-0  Hist_02070
     -180 0.000036000
     -174 0.000522000
     -168 0.003540000
     -162 0.014544000
     -156 0.037122000
     -150 0.062208000
     -144 0.077116000
     -138 0.077826000
     -132 0.069268000
     -126 0.060132000
     -120 0.054422000
     -114 0.052570000
     -108 0.056412000
     -102 0.063254000
      -96 0.071838000
      -90 0.078688000
      -84 0.077082000
      -78 0.066094000
      -72 0.043788000
      -66 0.022474000
      -60 0.008330000
      -54 0.002290000
      -48 0.000382000
      -42 0.000054000
      -36 0.000004000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000004000
