#ASP197-4  Hist_02102
     -180 0.062208000
     -174 0.054144000
     -168 0.039054000
     -162 0.023298000
     -156 0.011972000
     -150 0.005532000
     -144 0.002792000
     -138 0.001398000
     -132 0.000780000
     -126 0.000468000
     -120 0.000288000
     -114 0.000244000
     -108 0.000196000
     -102 0.000184000
      -96 0.000244000
      -90 0.000342000
      -84 0.000390000
      -78 0.000494000
      -72 0.000696000
      -66 0.000912000
      -60 0.001110000
      -54 0.001230000
      -48 0.001584000
      -42 0.002394000
      -36 0.004526000
      -30 0.010148000
      -24 0.020498000
      -18 0.039272000
      -12 0.064450000
       -6 0.090526000
        0 0.105760000
        6 0.100938000
       12 0.079786000
       18 0.052338000
       24 0.029194000
       30 0.014146000
       36 0.006272000
       42 0.002922000
       48 0.001344000
       54 0.000606000
       60 0.000318000
       66 0.000200000
       72 0.000170000
       78 0.000174000
       84 0.000168000
       90 0.000208000
       96 0.000296000
      102 0.000428000
      108 0.000518000
      114 0.000648000
      120 0.000766000
      126 0.000976000
      132 0.001220000
      138 0.001990000
      144 0.003622000
      150 0.007616000
      156 0.015520000
      162 0.027754000
      168 0.044542000
      174 0.058186000
