#ALA207-3  Hist_02206
     -180 0.064478000
     -174 0.056916000
     -168 0.039816000
     -162 0.022282000
     -156 0.010524000
     -150 0.004226000
     -144 0.001660000
     -138 0.000738000
     -132 0.000350000
     -126 0.000224000
     -120 0.000184000
     -114 0.000240000
     -108 0.000396000
     -102 0.000840000
      -96 0.002040000
      -90 0.005116000
      -84 0.011694000
      -78 0.023948000
      -72 0.041100000
      -66 0.056800000
      -60 0.063154000
      -54 0.053846000
      -48 0.036690000
      -42 0.020644000
      -36 0.009540000
      -30 0.003980000
      -24 0.001538000
      -18 0.000678000
      -12 0.000326000
       -6 0.000214000
        0 0.000202000
        6 0.000214000
       12 0.000396000
       18 0.000842000
       24 0.001904000
       30 0.004810000
       36 0.010784000
       42 0.021824000
       48 0.038478000
       54 0.054074000
       60 0.061544000
       66 0.054650000
       72 0.039042000
       78 0.022004000
       84 0.010536000
       90 0.004426000
       96 0.001834000
      102 0.000784000
      108 0.000344000
      114 0.000262000
      120 0.000178000
      126 0.000208000
      132 0.000358000
      138 0.000712000
      144 0.001770000
      150 0.004468000
      156 0.010424000
      162 0.022112000
      168 0.039414000
      174 0.057220000
