#PHE86-3  Hist_00892
    -180 0.211326000
    -174 0.161836000
    -168 0.094044000
    -162 0.041010000
    -156 0.013662000
    -150 0.003570000
    -144 0.000770000
    -138 0.000132000
    -132 0.000058000
    -126 0.000006000
    -120 0.000010000
    -114 0.000008000
    -108 0.000030000
    -102 0.000042000
     -96 0.000096000
     -90 0.000284000
     -84 0.000510000
     -78 0.000906000
     -72 0.001240000
     -66 0.001376000
     -60 0.001208000
     -54 0.000810000
     -48 0.000466000
     -42 0.000178000
     -36 0.000064000
     -30 0.000024000
     -24 0.000012000
     -18 0.000006000
     -12 0.000000000
      -6 0.000004000
       0 0.000006000
       6 0.000006000
      12 0.000032000
      18 0.000090000
      24 0.000186000
      30 0.000312000
      36 0.000372000
      42 0.000400000
      48 0.000554000
      54 0.001156000
      60 0.001992000
      66 0.002590000
      72 0.002806000
      78 0.002528000
      84 0.001966000
      90 0.001204000
      96 0.000428000
     102 0.000128000
     108 0.000042000
     114 0.000008000
     120 0.000024000
     126 0.000028000
     132 0.000136000
     138 0.000692000
     144 0.002838000
     150 0.009864000
     156 0.028620000
     162 0.070380000
     168 0.136226000
     174 0.200698000
