#LEU115-0  Hist_01194
     -180 0.000000000
     -174 0.000002000
     -168 0.000002000
     -162 0.000010000
     -156 0.000028000
     -150 0.000054000
     -144 0.000138000
     -138 0.000266000
     -132 0.000618000
     -126 0.001158000
     -120 0.002540000
     -114 0.006352000
     -108 0.016504000
     -102 0.040390000
      -96 0.088612000
      -90 0.159632000
      -84 0.219784000
      -78 0.218392000
      -72 0.150650000
      -66 0.068980000
      -60 0.020676000
      -54 0.004338000
      -48 0.000792000
      -42 0.000076000
      -36 0.000004000
      -30 0.000002000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
