#LEU45-4  Hist_00460
    -180 0.020096000
    -174 0.011994000
    -168 0.005112000
    -162 0.001702000
    -156 0.000402000
    -150 0.000088000
    -144 0.000012000
    -138 0.000006000
    -132 0.000000000
    -126 0.000002000
    -120 0.000004000
    -114 0.000014000
    -108 0.000036000
    -102 0.000118000
     -96 0.000536000
     -90 0.001310000
     -84 0.002222000
     -78 0.002352000
     -72 0.001716000
     -66 0.001052000
     -60 0.000764000
     -54 0.000572000
     -48 0.000396000
     -42 0.000238000
     -36 0.000108000
     -30 0.000048000
     -24 0.000022000
     -18 0.000004000
     -12 0.000000000
      -6 0.000002000
       0 0.000000000
       6 0.000000000
      12 0.000008000
      18 0.000020000
      24 0.000090000
      30 0.000564000
      36 0.003410000
      42 0.017312000
      48 0.061584000
      54 0.143352000
      60 0.205958000
      66 0.191526000
      72 0.121524000
      78 0.056700000
      84 0.022638000
      90 0.008314000
      96 0.003602000
     102 0.001794000
     108 0.000992000
     114 0.000840000
     120 0.000964000
     126 0.001398000
     132 0.002318000
     138 0.003590000
     144 0.004978000
     150 0.007940000
     156 0.014044000
     162 0.021160000
     168 0.026350000
     174 0.026102000
