#ARG2-5   Hist_00022
    -180 0.060186000
    -174 0.043646000
    -168 0.022814000
    -162 0.009094000
    -156 0.003056000
    -150 0.000840000
    -144 0.000260000
    -138 0.000090000
    -132 0.000038000
    -126 0.000034000
    -120 0.000060000
    -114 0.000134000
    -108 0.000322000
    -102 0.000948000
     -96 0.003000000
     -90 0.011610000
     -84 0.040288000
     -78 0.103136000
     -72 0.175050000
     -66 0.184902000
     -60 0.124440000
     -54 0.053562000
     -48 0.016068000
     -42 0.003662000
     -36 0.000652000
     -30 0.000126000
     -24 0.000022000
     -18 0.000000000
     -12 0.000004000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000002000
      18 0.000000000
      24 0.000002000
      30 0.000002000
      36 0.000012000
      42 0.000066000
      48 0.000226000
      54 0.000568000
      60 0.001104000
      66 0.001602000
      72 0.001442000
      78 0.000986000
      84 0.000422000
      90 0.000174000
      96 0.000084000
     102 0.000048000
     108 0.000040000
     114 0.000044000
     120 0.000028000
     126 0.000048000
     132 0.000106000
     138 0.000330000
     144 0.000926000
     150 0.003036000
     156 0.009104000
     162 0.021498000
     168 0.041466000
     174 0.058590000
