#GLN74-0  Hist_00760
    -180 0.000000000
    -174 0.000046000
    -168 0.000232000
    -162 0.001366000
    -156 0.004784000
    -150 0.011224000
    -144 0.018344000
    -138 0.021400000
    -132 0.020354000
    -126 0.017696000
    -120 0.016018000
    -114 0.017026000
    -108 0.021554000
    -102 0.033372000
     -96 0.056990000
     -90 0.096074000
     -84 0.146504000
     -78 0.179930000
     -72 0.166072000
     -66 0.107234000
     -60 0.046716000
     -54 0.013804000
     -48 0.002836000
     -42 0.000384000
     -36 0.000036000
     -30 0.000004000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
