#LYS57-0  Hist_00578
    -180 0.000000000
    -174 0.000036000
    -168 0.000146000
    -162 0.000296000
    -156 0.000850000
    -150 0.001654000
    -144 0.003156000
    -138 0.005136000
    -132 0.007598000
    -126 0.010670000
    -120 0.014938000
    -114 0.021506000
    -108 0.032158000
    -102 0.048790000
     -96 0.074228000
     -90 0.110116000
     -84 0.146302000
     -78 0.167358000
     -72 0.154958000
     -66 0.110502000
     -60 0.058028000
     -54 0.022888000
     -48 0.006804000
     -42 0.001524000
     -36 0.000312000
     -30 0.000036000
     -24 0.000010000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
