#TYR182-5  Hist_01940
     -180 0.005354000
     -174 0.006226000
     -168 0.006266000
     -162 0.004894000
     -156 0.003292000
     -150 0.001778000
     -144 0.000898000
     -138 0.000340000
     -132 0.000134000
     -126 0.000040000
     -120 0.000010000
     -114 0.000006000
     -108 0.000002000
     -102 0.000008000
      -96 0.000004000
      -90 0.000002000
      -84 0.000012000
      -78 0.000002000
      -72 0.000010000
      -66 0.000034000
      -60 0.000086000
      -54 0.000248000
      -48 0.000716000
      -42 0.001588000
      -36 0.004038000
      -30 0.007778000
      -24 0.014160000
      -18 0.024906000
      -12 0.040014000
       -6 0.062352000
        0 0.089772000
        6 0.120024000
       12 0.140326000
       18 0.142066000
       24 0.121844000
       30 0.088086000
       36 0.054452000
       42 0.028620000
       48 0.012512000
       54 0.005040000
       60 0.002006000
       66 0.000704000
       72 0.000276000
       78 0.000102000
       84 0.000046000
       90 0.000014000
       96 0.000014000
      102 0.000010000
      108 0.000004000
      114 0.000008000
      120 0.000016000
      126 0.000020000
      132 0.000030000
      138 0.000072000
      144 0.000150000
      150 0.000322000
      156 0.000668000
      162 0.001332000
      168 0.002386000
      174 0.003880000
