#ALA188-3  Hist_02004
     -180 0.065176000
     -174 0.059502000
     -168 0.042874000
     -162 0.024186000
     -156 0.011280000
     -150 0.004484000
     -144 0.001616000
     -138 0.000660000
     -132 0.000292000
     -126 0.000198000
     -120 0.000164000
     -114 0.000194000
     -108 0.000292000
     -102 0.000680000
      -96 0.001546000
      -90 0.003834000
      -84 0.010022000
      -78 0.021806000
      -72 0.038476000
      -66 0.056738000
      -60 0.064776000
      -54 0.059144000
      -48 0.041372000
      -42 0.023156000
      -36 0.010498000
      -30 0.004242000
      -24 0.001682000
      -18 0.000664000
      -12 0.000310000
       -6 0.000176000
        0 0.000116000
        6 0.000128000
       12 0.000254000
       18 0.000600000
       24 0.001412000
       30 0.003542000
       36 0.008884000
       42 0.019488000
       48 0.035076000
       54 0.051904000
       60 0.061886000
       66 0.057120000
       72 0.040926000
       78 0.023852000
       84 0.011376000
       90 0.004602000
       96 0.001802000
      102 0.000758000
      108 0.000354000
      114 0.000172000
      120 0.000126000
      126 0.000162000
      132 0.000284000
      138 0.000570000
      144 0.001302000
      150 0.003518000
      156 0.008510000
      162 0.019522000
      168 0.036432000
      174 0.055282000
