#ASP147-3  Hist_01546
     -180 0.000154000
     -174 0.000166000
     -168 0.000164000
     -162 0.000100000
     -156 0.000040000
     -150 0.000020000
     -144 0.000014000
     -138 0.000014000
     -132 0.000010000
     -126 0.000004000
     -120 0.000030000
     -114 0.000050000
     -108 0.000226000
     -102 0.000784000
      -96 0.003928000
      -90 0.017524000
      -84 0.060312000
      -78 0.145598000
      -72 0.234828000
      -66 0.245412000
      -60 0.170736000
      -54 0.081466000
      -48 0.028086000
      -42 0.007794000
      -36 0.001828000
      -30 0.000362000
      -24 0.000086000
      -18 0.000010000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000002000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000004000
      156 0.000014000
      162 0.000038000
      168 0.000056000
      174 0.000140000
