#VAL103-3  Hist_01078
     -180 0.100362000
     -174 0.069610000
     -168 0.035910000
     -162 0.014390000
     -156 0.004358000
     -150 0.001256000
     -144 0.000382000
     -138 0.000106000
     -132 0.000060000
     -126 0.000048000
     -120 0.000084000
     -114 0.000186000
     -108 0.000520000
     -102 0.001628000
      -96 0.005298000
      -90 0.015242000
      -84 0.035446000
      -78 0.059308000
      -72 0.073216000
      -66 0.066946000
      -60 0.047196000
      -54 0.025390000
      -48 0.010594000
      -42 0.003634000
      -36 0.000992000
      -30 0.000216000
      -24 0.000052000
      -18 0.000006000
      -12 0.000010000
       -6 0.000000000
        0 0.000000000
        6 0.000002000
       12 0.000002000
       18 0.000032000
       24 0.000226000
       30 0.001122000
       36 0.005048000
       42 0.013850000
       48 0.025066000
       54 0.031876000
       60 0.031942000
       66 0.025148000
       72 0.015650000
       78 0.007624000
       84 0.002982000
       90 0.000978000
       96 0.000348000
      102 0.000118000
      108 0.000062000
      114 0.000026000
      120 0.000042000
      126 0.000084000
      132 0.000210000
      138 0.000670000
      144 0.002532000
      150 0.007840000
      156 0.020842000
      162 0.046064000
      168 0.081538000
      174 0.105630000
