#LEU63-4  Hist_00652
    -180 0.041856000
    -174 0.023278000
    -168 0.008850000
    -162 0.002586000
    -156 0.000592000
    -150 0.000102000
    -144 0.000042000
    -138 0.000004000
    -132 0.000002000
    -126 0.000000000
    -120 0.000004000
    -114 0.000004000
    -108 0.000010000
    -102 0.000062000
     -96 0.000268000
     -90 0.000588000
     -84 0.000918000
     -78 0.001184000
     -72 0.001122000
     -66 0.000862000
     -60 0.000504000
     -54 0.000244000
     -48 0.000080000
     -42 0.000032000
     -36 0.000014000
     -30 0.000002000
     -24 0.000000000
     -18 0.000002000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000004000
      18 0.000012000
      24 0.000120000
      30 0.000868000
      36 0.005060000
      42 0.022614000
      48 0.071412000
      54 0.144134000
      60 0.183442000
      66 0.155786000
      72 0.095906000
      78 0.046902000
      84 0.020256000
      90 0.008066000
      96 0.003668000
     102 0.001952000
     108 0.001240000
     114 0.001230000
     120 0.001590000
     126 0.002264000
     132 0.003296000
     138 0.004272000
     144 0.005036000
     150 0.006914000
     156 0.012966000
     162 0.025522000
     168 0.041718000
     174 0.050538000
