#VAL106-3  Hist_01108
     -180 0.287716000
     -174 0.149210000
     -168 0.041874000
     -162 0.007360000
     -156 0.001052000
     -150 0.000166000
     -144 0.000040000
     -138 0.000004000
     -132 0.000004000
     -126 0.000000000
     -120 0.000002000
     -114 0.000000000
     -108 0.000000000
     -102 0.000006000
      -96 0.000008000
      -90 0.000020000
      -84 0.000022000
      -78 0.000052000
      -72 0.000144000
      -66 0.000262000
      -60 0.000384000
      -54 0.000424000
      -48 0.000338000
      -42 0.000218000
      -36 0.000080000
      -30 0.000030000
      -24 0.000010000
      -18 0.000006000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000002000
       24 0.000014000
       30 0.000132000
       36 0.000598000
       42 0.001902000
       48 0.004706000
       54 0.006292000
       60 0.004824000
       66 0.002232000
       72 0.000620000
       78 0.000122000
       84 0.000048000
       90 0.000010000
       96 0.000000000
      102 0.000002000
      108 0.000002000
      114 0.000002000
      120 0.000000000
      126 0.000000000
      132 0.000008000
      138 0.000048000
      144 0.000208000
      150 0.001596000
      156 0.009344000
      162 0.045650000
      168 0.149300000
      174 0.282906000
