#LEU6-4   Hist_00066
    -180 0.151268000
    -174 0.064940000
    -168 0.018736000
    -162 0.003872000
    -156 0.000564000
    -150 0.000082000
    -144 0.000014000
    -138 0.000002000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000002000
     -96 0.000006000
     -90 0.000030000
     -84 0.000110000
     -78 0.000338000
     -72 0.000744000
     -66 0.001522000
     -60 0.002658000
     -54 0.004136000
     -48 0.005016000
     -42 0.004090000
     -36 0.002350000
     -30 0.000932000
     -24 0.000258000
     -18 0.000044000
     -12 0.000018000
      -6 0.000004000
       0 0.000000000
       6 0.000000000
      12 0.000002000
      18 0.000002000
      24 0.000024000
      30 0.000042000
      36 0.000128000
      42 0.000426000
      48 0.000914000
      54 0.001358000
      60 0.001778000
      66 0.001584000
      72 0.001504000
      78 0.001816000
      84 0.003154000
      90 0.005338000
      96 0.006252000
     102 0.005510000
     108 0.004508000
     114 0.003458000
     120 0.003012000
     126 0.003104000
     132 0.004044000
     138 0.006454000
     144 0.013294000
     150 0.030476000
     156 0.069152000
     162 0.138684000
     168 0.211058000
     174 0.221188000
