#ASP208-4  Hist_02216
     -180 0.059768000
     -174 0.045326000
     -168 0.029218000
     -162 0.017704000
     -156 0.009876000
     -150 0.005400000
     -144 0.003004000
     -138 0.001620000
     -132 0.001048000
     -126 0.000628000
     -120 0.000508000
     -114 0.000380000
     -108 0.000254000
     -102 0.000236000
      -96 0.000194000
      -90 0.000204000
      -84 0.000198000
      -78 0.000288000
      -72 0.000496000
      -66 0.001046000
      -60 0.001990000
      -54 0.004356000
      -48 0.009076000
      -42 0.016802000
      -36 0.027506000
      -30 0.040886000
      -24 0.054606000
      -18 0.064642000
      -12 0.067628000
       -6 0.062004000
        0 0.050590000
        6 0.037030000
       12 0.024926000
       18 0.015726000
       24 0.009408000
       30 0.005712000
       36 0.003254000
       42 0.002054000
       48 0.001304000
       54 0.000834000
       60 0.000538000
       66 0.000394000
       72 0.000270000
       78 0.000184000
       84 0.000206000
       90 0.000168000
       96 0.000206000
      102 0.000294000
      108 0.000426000
      114 0.000670000
      120 0.001368000
      126 0.002748000
      132 0.005580000
      138 0.011026000
      144 0.019782000
      150 0.032296000
      156 0.047008000
      162 0.060754000
      168 0.069606000
      174 0.068746000
