#TYR181-4  Hist_01926
     -180 0.000002000
     -174 0.000002000
     -168 0.000000000
     -162 0.000008000
     -156 0.000012000
     -150 0.000012000
     -144 0.000032000
     -138 0.000070000
     -132 0.000248000
     -126 0.000810000
     -120 0.002630000
     -114 0.008324000
     -108 0.023852000
     -102 0.052128000
      -96 0.085272000
      -90 0.097314000
      -84 0.072440000
      -78 0.035346000
      -72 0.011212000
      -66 0.002572000
      -60 0.000408000
      -54 0.000064000
      -48 0.000010000
      -42 0.000002000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000004000
       -6 0.000006000
        0 0.000012000
        6 0.000014000
       12 0.000026000
       18 0.000048000
       24 0.000046000
       30 0.000026000
       36 0.000054000
       42 0.000082000
       48 0.000232000
       54 0.000650000
       60 0.002408000
       66 0.007802000
       72 0.021710000
       78 0.051264000
       84 0.093790000
       90 0.129550000
       96 0.131642000
      102 0.095774000
      108 0.048982000
      114 0.017572000
      120 0.004514000
      126 0.000840000
      132 0.000146000
      138 0.000030000
      144 0.000002000
      150 0.000000000
      156 0.000000000
      162 0.000002000
      168 0.000002000
      174 0.000000000
