#SER43-0  Hist_00432
    -180 0.000860000
    -174 0.002780000
    -168 0.006712000
    -162 0.010722000
    -156 0.013280000
    -150 0.013422000
    -144 0.011878000
    -138 0.009704000
    -132 0.007738000
    -126 0.007052000
    -120 0.007192000
    -114 0.008526000
    -108 0.011828000
    -102 0.018674000
     -96 0.033236000
     -90 0.058724000
     -84 0.097288000
     -78 0.145850000
     -72 0.173804000
     -66 0.160736000
     -60 0.111326000
     -54 0.057168000
     -48 0.022300000
     -42 0.006678000
     -36 0.001778000
     -30 0.000436000
     -24 0.000090000
     -18 0.000022000
     -12 0.000002000
      -6 0.000004000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000006000
     168 0.000032000
     174 0.000152000
