#PHE81-0  Hist_00840
    -180 0.038762000
    -174 0.133382000
    -168 0.252848000
    -162 0.272702000
    -156 0.180618000
    -150 0.080048000
    -144 0.025954000
    -138 0.007060000
    -132 0.001648000
    -126 0.000402000
    -120 0.000118000
    -114 0.000040000
    -108 0.000016000
    -102 0.000006000
     -96 0.000004000
     -90 0.000002000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000016000
     168 0.000434000
     174 0.005940000
