#GLU151-0  Hist_01574
     -180 0.000000000
     -174 0.000000000
     -168 0.000014000
     -162 0.000036000
     -156 0.000100000
     -150 0.000260000
     -144 0.000540000
     -138 0.001106000
     -132 0.001974000
     -126 0.003528000
     -120 0.006078000
     -114 0.011332000
     -108 0.021004000
     -102 0.039248000
      -96 0.073478000
      -90 0.124272000
      -84 0.176350000
      -78 0.202298000
      -72 0.174156000
      -66 0.105572000
      -60 0.043522000
      -54 0.012354000
      -48 0.002376000
      -42 0.000352000
      -36 0.000046000
      -30 0.000004000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
