#ALA95-3  Hist_00994
    -180 0.069058000
    -174 0.054730000
    -168 0.033280000
    -162 0.015810000
    -156 0.006456000
    -150 0.002320000
    -144 0.000822000
    -138 0.000324000
    -132 0.000140000
    -126 0.000100000
    -120 0.000074000
    -114 0.000118000
    -108 0.000258000
    -102 0.000584000
     -96 0.001758000
     -90 0.004986000
     -84 0.012742000
     -78 0.027012000
     -72 0.045826000
     -66 0.062432000
     -60 0.063546000
     -54 0.049108000
     -48 0.028844000
     -42 0.013130000
     -36 0.005282000
     -30 0.001896000
     -24 0.000656000
     -18 0.000264000
     -12 0.000122000
      -6 0.000088000
       0 0.000084000
       6 0.000108000
      12 0.000276000
      18 0.000564000
      24 0.001698000
      30 0.004744000
      36 0.012132000
      42 0.026250000
      48 0.047348000
      54 0.064910000
      60 0.067824000
      66 0.053510000
      72 0.033326000
      78 0.016352000
      84 0.006546000
      90 0.002358000
      96 0.000790000
     102 0.000276000
     108 0.000122000
     114 0.000074000
     120 0.000078000
     126 0.000116000
     132 0.000242000
     138 0.000528000
     144 0.001544000
     150 0.004770000
     156 0.012132000
     162 0.026790000
     168 0.047528000
     174 0.065214000
