#CYS77-4  Hist_00804
    -180 0.000510000
    -174 0.000358000
    -168 0.000204000
    -162 0.000162000
    -156 0.000104000
    -150 0.000094000
    -144 0.000098000
    -138 0.000046000
    -132 0.000082000
    -126 0.000122000
    -120 0.000118000
    -114 0.000170000
    -108 0.000296000
    -102 0.000486000
     -96 0.000846000
     -90 0.001408000
     -84 0.002420000
     -78 0.003550000
     -72 0.004664000
     -66 0.005642000
     -60 0.005768000
     -54 0.005140000
     -48 0.004020000
     -42 0.002838000
     -36 0.001806000
     -30 0.001202000
     -24 0.000698000
     -18 0.000508000
     -12 0.000396000
      -6 0.000374000
       0 0.000408000
       6 0.000562000
      12 0.001014000
      18 0.002338000
      24 0.005930000
      30 0.015168000
      36 0.035340000
      42 0.071616000
      48 0.119372000
      54 0.160628000
      60 0.167734000
      66 0.139240000
      72 0.093300000
      78 0.053590000
      84 0.028598000
      90 0.015024000
      96 0.008556000
     102 0.005386000
     108 0.004174000
     114 0.003300000
     120 0.003010000
     126 0.003054000
     132 0.003004000
     138 0.003254000
     144 0.002992000
     150 0.002752000
     156 0.002390000
     162 0.001886000
     168 0.001296000
     174 0.000954000
