#LEU168-4  Hist_01792
     -180 0.048032000
     -174 0.022972000
     -168 0.009110000
     -162 0.003174000
     -156 0.000948000
     -150 0.000266000
     -144 0.000060000
     -138 0.000028000
     -132 0.000010000
     -126 0.000006000
     -120 0.000006000
     -114 0.000004000
     -108 0.000014000
     -102 0.000050000
      -96 0.000202000
      -90 0.000698000
      -84 0.001278000
      -78 0.001596000
      -72 0.001438000
      -66 0.001352000
      -60 0.000858000
      -54 0.000488000
      -48 0.000178000
      -42 0.000094000
      -36 0.000034000
      -30 0.000014000
      -24 0.000012000
      -18 0.000002000
      -12 0.000002000
       -6 0.000002000
        0 0.000004000
        6 0.000010000
       12 0.000038000
       18 0.000112000
       24 0.000320000
       30 0.001624000
       36 0.007530000
       42 0.026942000
       48 0.070236000
       54 0.111032000
       60 0.106518000
       66 0.061932000
       72 0.024158000
       78 0.007838000
       84 0.003168000
       90 0.001330000
       96 0.000600000
      102 0.000276000
      108 0.000252000
      114 0.000260000
      120 0.000424000
      126 0.000834000
      132 0.002084000
      138 0.005910000
      144 0.017408000
      150 0.045896000
      156 0.090494000
      162 0.121924000
      168 0.115194000
      174 0.082724000
