#ALA38-3  Hist_00392
    -180 0.067240000
    -174 0.056116000
    -168 0.035118000
    -162 0.018216000
    -156 0.007550000
    -150 0.002718000
    -144 0.000958000
    -138 0.000370000
    -132 0.000162000
    -126 0.000120000
    -120 0.000090000
    -114 0.000104000
    -108 0.000244000
    -102 0.000606000
     -96 0.001726000
     -90 0.005076000
     -84 0.012130000
     -78 0.025568000
     -72 0.045346000
     -66 0.062686000
     -60 0.066426000
     -54 0.053718000
     -48 0.033230000
     -42 0.016502000
     -36 0.006862000
     -30 0.002474000
     -24 0.000874000
     -18 0.000362000
     -12 0.000130000
      -6 0.000102000
       0 0.000078000
       6 0.000142000
      12 0.000222000
      18 0.000634000
      24 0.001810000
      30 0.004460000
      36 0.011584000
      42 0.024618000
      48 0.043628000
      54 0.060300000
      60 0.065002000
      66 0.054020000
      72 0.033804000
      78 0.017220000
      84 0.007336000
      90 0.002854000
      96 0.000980000
     102 0.000426000
     108 0.000148000
     114 0.000092000
     120 0.000100000
     126 0.000126000
     132 0.000258000
     138 0.000564000
     144 0.001442000
     150 0.004326000
     156 0.011094000
     162 0.024452000
     168 0.043628000
     174 0.061828000
