#ALA194-3  Hist_02068
     -180 0.061638000
     -174 0.050692000
     -168 0.033044000
     -162 0.017546000
     -156 0.008122000
     -150 0.003484000
     -144 0.001452000
     -138 0.000658000
     -132 0.000376000
     -126 0.000252000
     -120 0.000256000
     -114 0.000286000
     -108 0.000506000
     -102 0.001120000
      -96 0.002548000
      -90 0.006156000
      -84 0.014282000
      -78 0.028394000
      -72 0.046050000
      -66 0.059356000
      -60 0.061588000
      -54 0.049388000
      -48 0.031776000
      -42 0.017304000
      -36 0.007890000
      -30 0.003264000
      -24 0.001402000
      -18 0.000620000
      -12 0.000348000
       -6 0.000270000
        0 0.000244000
        6 0.000294000
       12 0.000530000
       18 0.001094000
       24 0.002528000
       30 0.006220000
       36 0.014174000
       42 0.027836000
       48 0.045710000
       54 0.059300000
       60 0.061846000
       66 0.050082000
       72 0.032616000
       78 0.017718000
       84 0.008220000
       90 0.003506000
       96 0.001530000
      102 0.000728000
      108 0.000340000
      114 0.000240000
      120 0.000232000
      126 0.000282000
      132 0.000538000
      138 0.001012000
      144 0.002266000
      150 0.005790000
      156 0.013488000
      162 0.027006000
      168 0.044930000
      174 0.059632000
