#MET1-5   Hist_00010
    -180 0.003234000
    -174 0.002736000
    -168 0.002420000
    -162 0.001796000
    -156 0.001214000
    -150 0.000906000
    -144 0.000616000
    -138 0.000520000
    -132 0.000454000
    -126 0.000450000
    -120 0.000472000
    -114 0.000726000
    -108 0.001174000
    -102 0.002244000
     -96 0.004616000
     -90 0.008840000
     -84 0.014712000
     -78 0.019568000
     -72 0.019402000
     -66 0.014536000
     -60 0.008354000
     -54 0.004060000
     -48 0.001520000
     -42 0.000604000
     -36 0.000190000
     -30 0.000078000
     -24 0.000044000
     -18 0.000014000
     -12 0.000004000
      -6 0.000010000
       0 0.000010000
       6 0.000008000
      12 0.000022000
      18 0.000058000
      24 0.000254000
      30 0.000870000
      36 0.003426000
      42 0.011504000
      48 0.031940000
      54 0.070114000
      60 0.121986000
      66 0.163320000
      72 0.164776000
      78 0.127664000
      84 0.079768000
      90 0.042314000
      96 0.021276000
     102 0.010644000
     108 0.005914000
     114 0.003670000
     120 0.002458000
     126 0.001986000
     132 0.001782000
     138 0.001882000
     144 0.002102000
     150 0.002452000
     156 0.002746000
     162 0.003068000
     168 0.003252000
     174 0.003220000
