#TYR171-3  Hist_01820
     -180 0.067604000
     -174 0.034682000
     -168 0.016868000
     -162 0.008820000
     -156 0.004318000
     -150 0.002090000
     -144 0.000844000
     -138 0.000284000
     -132 0.000090000
     -126 0.000026000
     -120 0.000010000
     -114 0.000008000
     -108 0.000012000
     -102 0.000108000
      -96 0.000280000
      -90 0.000488000
      -84 0.000806000
      -78 0.001406000
      -72 0.002352000
      -66 0.003298000
      -60 0.003434000
      -54 0.002412000
      -48 0.001322000
      -42 0.000452000
      -36 0.000126000
      -30 0.000030000
      -24 0.000008000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000002000
      114 0.000006000
      120 0.000026000
      126 0.000122000
      132 0.000622000
      138 0.003456000
      144 0.016772000
      150 0.064764000
      156 0.161698000
      162 0.240906000
      168 0.222254000
      174 0.137194000
