#ARG36-4  Hist_00370
    -180 0.211424423
    -174 0.146748293
    -168 0.066512133
    -162 0.023838048
    -156 0.008642017
    -150 0.003222006
    -144 0.001132002
    -138 0.000488001
    -132 0.000216000
    -126 0.000236000
    -120 0.000248000
    -114 0.000436001
    -108 0.000650001
    -102 0.001120002
     -96 0.001964004
     -90 0.003838008
     -84 0.006142012
     -78 0.007278015
     -72 0.005668011
     -66 0.003468007
     -60 0.001928004
     -54 0.000944002
     -48 0.000500001
     -42 0.000244000
     -36 0.000142000
     -30 0.000066000
     -24 0.000034000
     -18 0.000020000
     -12 0.000020000
      -6 0.000006000
       0 0.000004000
       6 0.000008000
      12 0.000010000
      18 0.000010000
      24 0.000048000
      30 0.000200000
      36 0.000762002
      42 0.002374005
      48 0.005488011
      54 0.007714015
      60 0.007746015
      66 0.005188010
      72 0.003148006
      78 0.001854004
      84 0.000974002
      90 0.000500001
      96 0.000234000
     102 0.000120000
     108 0.000080000
     114 0.000070000
     120 0.000060000
     126 0.000108000
     132 0.000296001
     138 0.001110002
     144 0.004324009
     150 0.015158030
     156 0.040278081
     162 0.082606165
     168 0.132170264
     174 0.190182380
