#LEU5-4   Hist_00056
    -180 0.007954000
    -174 0.006104000
    -168 0.003506000
    -162 0.001246000
    -156 0.000446000
    -150 0.000108000
    -144 0.000018000
    -138 0.000004000
    -132 0.000002000
    -126 0.000000000
    -120 0.000002000
    -114 0.000000000
    -108 0.000010000
    -102 0.000020000
     -96 0.000066000
     -90 0.000216000
     -84 0.000410000
     -78 0.000612000
     -72 0.000604000
     -66 0.000520000
     -60 0.000328000
     -54 0.000190000
     -48 0.000088000
     -42 0.000030000
     -36 0.000012000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000002000
      -6 0.000000000
       0 0.000000000
       6 0.000008000
      12 0.000018000
      18 0.000074000
      24 0.000386000
      30 0.002220000
      36 0.009812000
      42 0.036500000
      48 0.098564000
      54 0.187692000
      60 0.234344000
      66 0.193064000
      72 0.106006000
      78 0.041920000
      84 0.013758000
      90 0.004134000
      96 0.001444000
     102 0.000616000
     108 0.000372000
     114 0.000312000
     120 0.000468000
     126 0.000772000
     132 0.001614000
     138 0.002824000
     144 0.004504000
     150 0.005776000
     156 0.006576000
     162 0.007150000
     168 0.007908000
     174 0.008666000
